XC6SLX9-2CSG324C			
Pin	Name	Side	Unit
D4	IO_L1P_HSWAPEN_0 	left	2
C4	IO_L1N_VREF_0 	left	2
B2	IO_L2P_0 	left	2
A2	IO_L2N_0 	left	2
D6	IO_L3P_0 	left	2
C6	IO_L3N_0 	left	2
B3	IO_L4P_0 	left	2
A3	IO_L4N_0 	left	2
B4	IO_L5P_0 	left	2
A4	IO_L5N_0 	left	2
C5	IO_L6P_0 	left	2
A5	IO_L6N_0 	left	2
C7	IO_L10P_0 	left	2
A7	IO_L10N_0 	left	2
B6	IO_L8P_0 	left	2
A6	IO_L8N_VREF_0 	left	2
E7	NC	left	1
E8	NC	left	1
F7	NC	left	1
E6	NC	left	1
G8	NC	left	1
F8	NC	left	1
D8	IO_L11P_0 	left	2
C8	IO_L11N_0 	left	2
B8	IO_L33P_0 	left	2
A8	IO_L33N_0 	left	2
D9	IO_L34P_GCLK19_0 	left	2
C9	IO_L34N_GCLK18_0 	left	2
B9	IO_L35P_GCLK17_0 	left	2
A9	IO_L35N_GCLK16_0 	left	2
D11	IO_L36P_GCLK15_0 	left	2
C11	IO_L36N_GCLK14_0 	left	2
C10	IO_L37P_GCLK13_0 	left	2
A10	IO_L37N_GCLK12_0 	left	2
G9	IO_L38P_0 	left	2
F9	IO_L38N_VREF_0 	left	2
B11	IO_L39P_0 	left	2
A11	IO_L39N_0 	left	2
G11	NC	left	1
F10	NC	left	1
B12	IO_L41P_0 	left	2
A12	IO_L41N_0 	left	2
F11	NC	left	1
E11	NC	left	1
D12	NC	left	1
C12	NC	left	1
C13	NC	left	1
A13	NC	left	1
F12	NC	left	1
E12	NC	left	1
B14	IO_L62P_0 	left	2
A14	IO_L62N_VREF_0 	left	2
F13	IO_L63P_SCP7_0 	left	2
E13	IO_L63N_SCP6_0 	left	2
C15	IO_L64P_SCP5_0 	left	2
A15	IO_L64N_SCP4_0 	left	2
D14	IO_L65P_SCP3_0 	left	2
C14	IO_L65N_SCP2_0 	left	2
B16	IO_L66P_SCP1_0 	left	2
A16	IO_L66N_SCP0_0 	left	1
A17	TCK 	left	1
D15	TDI 	left	1
B18	TMS 	left	1
D16	TDO 	left	1
F15	IO_L1P_A25_1 	left	2
F16	IO_L1N_A24_VREF_1 	left	2
C17	IO_L29P_A23_M1A13_1 	left	2
C18	IO_L29N_A22_M1A14_1 	left	2
F14	IO_L30P_A21_M1RESET_1 	left	2
G14	IO_L30N_A20_M1A11_1 	left	2
D17	IO_L31P_A19_M1CKE_1 	left	2
D18	IO_L31N_A18_M1A12_1 	left	2
H12	IO_L32P_A17_M1A8_1 	left	2
G13	IO_L32N_A16_M1A9_1 	left	2
E16	IO_L33P_A15_M1A10_1 	left	2
E18	IO_L33N_A14_M1A4_1 	left	2
K12	IO_L34P_A13_M1WE_1 	left	2
K13	IO_L34N_A12_M1BA2_1 	left	2
F17	IO_L35P_A11_M1A7_1 	left	2
F18	IO_L35N_A10_M1A2_1 	left	2
H13	IO_L36P_A9_M1BA0_1 	left	2
H14	IO_L36N_A8_M1BA1_1 	left	2
H15	IO_L37P_A7_M1A0_1 	left	2
H16	IO_L37N_A6_M1A1_1 	left	2
G16	IO_L38P_A5_M1CLK_1 	left	2
G18	IO_L38N_A4_M1CLKN_1 	left	2
J13	IO_L39P_M1A3_1 	left	2
K14	IO_L39N_M1ODT_1 	left	2
L12	IO_L40P_GCLK11_M1A5_1 	left	2
L13	IO_L40N_GCLK10_M1A6_1 	left	2
K15	IO_L41P_GCLK9_IRDY1_M1RASN_1 	left	2
K16	IO_L41N_GCLK8_M1CASN_1 	left	2
L15	IO_L42P_GCLK7_M1UDM_1 	left	2
L16	IO_L42N_GCLK6_TRDY1_M1LDM_1 	left	2
H17	IO_L43P_GCLK5_M1DQ4_1 	left	2
H18	IO_L43N_GCLK4_M1DQ5_1 	left	2
J16	IO_L44P_A3_M1DQ6_1 	left	2
J18	IO_L44N_A2_M1DQ7_1 	left	2
K17	IO_L45P_A1_M1LDQS_1 	left	2
K18	IO_L45N_A0_M1LDQSN_1 	left	2
L17	IO_L46P_FCS_B_M1DQ2_1 	left	2
L18	IO_L46N_FOE_B_M1DQ3_1 	left	2
M16	IO_L47P_FWE_B_M1DQ0_1 	left	2
